"Source:","/Users/henrychen/Dev/embedded/hardware/highcurrent_lvr/highcurrent_lvr.sch"
"Date:","Saturday, 27 February 2021 at 10:26:24 pm"
"Tool:","Eeschema (5.1.9-0-10_14)"
"Generator:","/private/var/folders/r4/rdfc279s0b1dc4f_nvbyrlbc0000gn/T/AppTranslocation/55773C2F-AB3A-4D4B-8112-5333FD504E05/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","dk_pn","ms_pn"
"","","C1","10uF","Device:CP","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-2891-1-ND","187-CL21A106KAYNNNE"
"","","C2","10uF","Device:CP","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-2891-1-ND","187-CL21A106KAYNNNE"
"","","C3","10uF","Device:CP","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-2891-1-ND","187-CL21A106KAYNNNE"
"","","C4","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","732-7628-1-ND","710-885012107018"
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","754-2044-1-ND","604-APTD2012LSURCK"
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","754-2044-1-ND","604-APTD2012LSURCK"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4mm","~","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4mm","~","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4mm","~","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4mm","~","",""
"","","HS1","Heatsink","Mechanical:Heatsink","heatsink-lib:Ohmite-BGAH450125E","~","273-BGAH450-125E-ND","588-BGAH450-125E"
"","","POWER_IN1","Conn_01x02_Female","Connector:Conn_01x02_Female","wire-connector-lib:connector-wire-3cm2-2pin-smd","~","277-1258-ND","651-1711026"
"","","POWER_OUT1","Conn_01x02_Female","Connector:Conn_01x02_Female","wire-connector-lib:connector-wire-3cm2-2pin-smd","~","277-1258-ND","651-1711026"
"","","Q1","Q_NMOS_DGS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~","742-SUD19N20-90-BE3CT-ND","78-SUD19N20-90-BE3"
"","","Q2","Q_NMOS_DGS","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~","742-SUD19N20-90-BE3CT-ND","78-SUD19N20-90-BE3"
"","","R1","2.7M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","408-2157-1-ND","603-RC0805FR-072M7L"
